item_id	genre	text_id	sentence_n	target_word	part_of_speech	novelty_score	type	text	intention_1	intention_2	intention_3	comments
A1E0100006019	NEWS	a1e-fragment01	6	modest	AJ0	0.485	indirect	If he had taken his own rule seriously , he would have found out that DRG has a very <b>modest</b> self-service canteen at its Bristol head office .	Persuasiveness	Lexicalized metaphor		could be just lexicalized, but the tone seems polemic
A1E0100023015	NEWS	a1e-fragment01	23	grip	VVD	0.545	indirect	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that <b>gripped</b> US corporate life in the early 1980s .	Visualization			
A1F0700155031	NEWS	a1f-fragment07	155	semi-skilled	AJ0	0.323	indirect	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age group to entice young people away from education and into unskilled or semi-<b>skilled</b> jobs .	Lexicalized metaphor			
A1F0800160014	NEWS	a1f-fragment08	160	scoop	VVI	0.486	indirect	Sir : Labour does not need a commitment to proportional representation in order to <b>scoop</b> most of the centre ground at the next general election .	Lexicalized metaphor			technical language
A1F0800160018	NEWS	a1f-fragment08	160	centre	NN1	0.257	indirect	Sir : Labour does not need a commitment to proportional representation in order to scoop most of the <b>centre</b> ground at the next general election .	Lexicalized metaphor			
A1F0900166042	NEWS	a1f-fragment09	166	hot-house	NN1	0.656	indirect	Sir : If Labour is to suggest the setting up of a specialist labour court ( 30 September ) , then such a momentous change in the industrial relations system deserves more discussion , and needs to be taken out of the <b>hot-house</b> of Labour Party conference politics .	Argumentative metaphor	Persuasiveness	Humour	unclear intention
A1F0900170015	NEWS	a1f-fragment09	170	fledged	AJ0-VVD	0.529	indirect	Labour law will always reflect the balance of power in society , and a fully <b>fledged</b> labour court system will not remove class and fundamental employer-employee differences .	Lexicalized metaphor			
A1F0900171016	NEWS	a1f-fragment09	171	see-sawing	NN1	0.576	indirect	But it should be possible to create and enforce enough common rules to prevent the absurd <b>see-sawing</b> of industrial relations legislation we have seen since 1969 .	Argumentative metaphor			
A1F1000178027	NEWS	a1f-fragment10	178	visitor		-0.094	direct	The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent : they look like some of the hundreds of <b>visitors who come to St Botolph 's Crypt Centre for homeless people every day </b>.	Humour			
A1F1100193003	NEWS	a1f-fragment11	193	recipe	NN1	0.364	indirect	This is a <b>recipe</b> for fear and anxiety .	Heuristic reasoning			isn't this direct met ?
